z_obs,6.0,7.0,8.0,8.5,9.0,10.0,11.0,12.0
5.5,1466406.749066284,25724222.02932653,73926246.90858041,101170582.99104431,127063947.12184563,169299488.17783964,206525307.40028742,234172541.7357186
5.4,2542828.548303195,31347279.496075496,83681830.68788332,111755561.75154963,139082558.46871734,181880121.92764512,220806507.3746538,248069482.15786588
5.3,4217784.141368544,38351809.433693,94306929.95500934,124290829.41074789,151901222.20233887,195173922.99342948,234156684.6364796,262667779.59470677
5.2,6353022.186745032,45735023.11636505,105845697.32055059,136523759.71029013,165558126.46871996,209212852.4276425,248179430.7404682,276214094.8997052
5.1,9148609.413236244,54786619.308509365,118344657.56100003,150950032.19400853,180094388.23214787,224035383.90010092,264755967.18884805,292243293.595402
5.0,13000409.764825866,64212107.57928803,131855832.29925004,166437655.73164606,195549788.65495613,239677346.47363156,280293669.5834896,309083377.2025296
4.9,17496171.00186507,75618609.7135896,146425569.1288908,181488841.0483326,211968002.8410617,256178020.323425,296613398.73496556,324785510.7403176
4.8,22984791.60253805,88374860.75754012,163472148.58365217,199151311.9903026,229391480.08112565,273579896.68069726,315834225.6654854,343286673.6811827
4.7,30091415.23221898,101467438.2820276,180411702.9206738,216293010.341008,247872463.7747224,291935863.65738857,333908457.9175794,362725850.8556865
4.6,38002441.01824986,117077666.89639303,198580507.2374207,236342224.4399077,267460653.96885717,313318974.1058856,352898917.60173917,380945325.1198969
4.5,47277919.30912782,132988898.72715212,218038073.88415697,255778549.51073074,288208380.7560477,333796040.7869763,375178700.28415567,402318971.0116708
4.4,58835078.52136275,151812160.67670903,238844205.94114178,278447648.37379074,310174414.9607066,355376012.6854869,396216753.8696909,424784834.1188786
4.3,71332924.23532689,170888224.71728873,261069411.68307382,300412948.4329984,333421331.88677645,378117093.2785719,418325645.78504497,445959930.2905821
4.2,85600512.42542875,193301099.23976612,284781886.50305426,325963689.0480103,358014793.1369592,402080420.4142535,444171298.11767244,470689898.1713042
4.1,102931871.82729796,215909848.58516094,310050407.13372064,350711113.7179462,384019596.71269953,427333283.3807319,468684679.77665615,496701838.978853
4.0,121301534.35751483,242319847.51811808,339198056.89071494,379426502.89056665,411513768.91823375,453944928.31221753,494460871.74339485,521369255.8885246
3.9,141895931.88661692,268856777.2294453,367940992.58316296,409929428.9441011,440567477.20502883,481990079.7346308,521571421.1158359,550056233.0199487
3.8,166454484.88597304,299704865.39254206,398491822.51557004,439468291.0121881,471264464.0143621,511550707.2038483,553101526.6736042,580252664.7899351
3.7,192129078.80181837,330605610.8891797,430940244.1554715,473657872.24626565,503703282.8570254,542706391.6686816,583211636.8045981,609061605.9893553
3.6,220530282.51107335,366368470.7153564,465375288.8034745,506789288.6298524,537971653.3503273,575557023.7732829,614911776.5100048,642423306.7223232
3.5,253931568.4662072,402100951.8655355,501915092.7515306,545061475.1199795,574170849.055221,610204283.9796499,651639513.1359882,677581807.0612397
